MonthNum,Month_en,Month_ar,Day,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
3,March,آذار,18,4:23,5:42,11:47,3:13,5:55,7:11
3,March,آذار,19,4:22,5:41,11:46,3:14,5:56,7:11
3,March,آذار,20,4:20,5:40,11:46,3:14,5:57,7:12
3,March,آذار,21,4:19,5:38,11:46,3:14,5:58,7:13
3,March,آذار,22,4:17,5:37,11:46,3:14,5:58,7:14
3,March,آذار,23,4:16,5:36,11:45,3:14,5:59,7:14
3,March,آذار,24,4:15,5:34,11:45,3:14,5:00,7:15
3,March,آذار,25,4:13,5:33,11:45,3:15,5:00,7:16
3,March,آذار,26,4:12,5:32,11:44,3:15,5:01,7:17
3,March,آذار,27,4:10,5:30,11:44,3:15,5:02,7:18
3,March,آذار,28,4:09,5:29,11:44,3:15,5:02,7:19
3,March,آذار,29,4:08,5:28,11:43,3:15,5:03,7:19
3,March,آذار,30,4:06,5:27,11:43,3:15,5:04,7:20
3,March,آذار,31,4:05,5:25,11:43,3:15,5:05,7:21
4,April,نيسان,1,3:03,5:24,11:43,3:15,6:05,7:22
4,April,نيسان,2,3:02,5:23,11:42,3:15,6:06,7:23
4,April,نيسان,3,3:00,5:21,11:42,3:15,6:07,7:24
4,April,نيسان,4,3:59,5:20,11:42,3:16,6:07,7:24
4,April,نيسان,5,3:58,5:19,11:41,3:16,6:08,7:25
4,April,نيسان,6,3:56,5:18,11:41,3:16,6:09,7:26
4,April,نيسان,7,3:55,5:16,11:41,3:16,6:09,7:27
4,April,نيسان,8,3:53,5:15,11:41,3:16,6:10,7:28
4,April,نيسان,9,3:52,5:14,11:40,3:16,6:11,7:29
4,April,نيسان,10,3:50,5:13,11:40,3:16,6:11,7:30
4,April,نيسان,11,3:49,5:11,11:40,3:16,6:12,7:30
4,April,نيسان,12,3:48,5:10,11:39,3:16,6:13,7:31
4,April,نيسان,13,3:46,5:09,11:39,3:16,6:13,7:32
4,April,نيسان,14,3:45,5:08,11:39,3:16,6:14,7:33
4,April,نيسان,15,3:43,5:07,11:39,3:16,6:15,7:34
4,April,نيسان,16,3:42,4:05,11:39,3:16,6:16,7:35
4,April,نيسان,17,3:41,4:04,11:38,3:16,6:16,7:36
4,April,نيسان,18,3:39,4:03,11:38,3:16,6:17,7:37
4,April,نيسان,19,3:38,4:02,11:38,3:16,6:18,7:38
4,April,نيسان,20,3:36,4:01,11:38,3:16,6:18,7:39
4,April,نيسان,21,3:35,4:00,11:37,3:16,6:19,7:40
4,April,نيسان,22,3:34,4:59,11:37,3:16,6:20,7:41
4,April,نيسان,23,3:32,4:58,11:37,3:16,6:20,7:41
4,April,نيسان,24,3:31,4:57,11:37,3:16,6:21,7:42
4,April,نيسان,25,3:30,4:55,11:37,3:16,6:22,7:43
4,April,نيسان,26,3:29,4:54,11:36,3:15,6:22,7:44
4,April,نيسان,27,3:27,4:53,11:36,3:15,6:23,7:45
4,April,نيسان,28,3:26,4:52,11:36,3:15,6:24,7:46
4,April,نيسان,29,3:25,4:51,11:36,3:15,6:25,7:47
4,April,نيسان,30,3:24,4:50,11:36,3:15,6:25,7:48
5,May,أيــار,1,3:22,4:50,11:36,3:15,6:26,7:49
5,May,أيــار,2,3:21,4:49,11:36,3:15,6:27,7:50
5,May,أيــار,3,3:20,4:48,11:35,3:15,6:27,7:51
5,May,أيــار,4,3:19,4:47,11:35,3:15,6:28,7:52
5,May,أيــار,5,3:18,4:46,11:35,3:15,6:29,7:53
5,May,أيــار,6,3:16,4:45,11:35,3:15,6:29,7:54
5,May,أيــار,7,3:15,4:44,11:35,3:15,6:30,7:55
5,May,أيــار,8,3:14,4:43,11:35,3:15,6:31,7:56
5,May,أيــار,9,3:13,4:43,11:35,3:15,6:31,7:57
5,May,أيــار,10,3:12,4:42,11:35,3:15,6:32,7:58
5,May,أيــار,11,3:11,4:41,11:35,3:15,6:33,7:59
5,May,أيــار,12,3:10,4:40,11:35,3:15,6:34,7:00
5,May,أيــار,13,3:09,4:40,11:35,3:15,6:34,7:01
5,May,أيــار,14,3:08,4:39,11:35,3:15,6:35,7:02
5,May,أيــار,15,3:07,4:38,11:35,3:15,6:36,7:03
5,May,أيــار,16,2:06,4:38,11:35,3:15,6:36,8:04
5,May,أيــار,17,2:06,4:37,11:35,3:15,6:37,8:04
5,May,أيــار,18,2:05,4:37,11:35,3:15,6:37,8:05
5,May,أيــار,19,2:04,4:36,11:35,3:16,6:38,8:06
5,May,أيــار,20,2:03,4:35,11:35,3:16,6:39,8:07
5,May,أيــار,21,2:02,4:35,11:35,3:16,6:39,8:08
5,May,أيــار,22,2:02,4:34,11:35,3:16,6:40,8:09
5,May,أيــار,23,2:01,4:34,11:35,3:16,6:41,8:10
5,May,أيــار,24,2:00,4:34,11:35,3:16,6:41,8:11
5,May,أيــار,25,2:59,4:33,11:35,3:16,6:42,8:11
5,May,أيــار,26,2:59,4:33,11:36,3:16,6:42,8:12
5,May,أيــار,27,2:58,4:32,11:36,3:16,6:43,8:13
5,May,أيــار,28,2:58,4:32,11:36,3:16,6:44,8:14
5,May,أيــار,29,2:57,4:32,11:36,3:16,6:44,8:15
5,May,أيــار,30,2:57,4:31,11:36,3:16,6:45,8:15
5,May,أيــار,31,2:56,4:31,11:36,3:17,6:45,8:16
6,June,حزيران,1,2:56,4:31,11:36,3:17,6:46,8:17
